 1000  1.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
    1  0.0000000000000000E+00  7.4336609830656451E-18  1.8188207350153663E+14  9.0136644887163383E-04  2.9877629647978684E-08  1.4215878192341307E+07
    2  1.0010010010010010E-03  2.7406352620116989E-09  5.1617607043693262E+05  9.4310022669739470E-04  2.4024024024024024E-06  7.5731695290158888E+02
    3  2.0020020020020020E-03  6.2013496912878198E-08  2.2811974980761259E+04  9.4310022669739539E-04  4.8048048048048057E-06  1.5920627772645309E+02
    4  3.0030030030030030E-03  3.8450048102435357E-07  3.6791900397037609E+03  9.4310022669740443E-04  7.2072072072072386E-06  6.3937382907061335E+01
    5  4.0040040040040040E-03  1.4032052541500725E-06  1.0081563875721421E+03  9.4310022669745782E-04  9.6096096096097855E-06  3.3468997056515555E+01
    6  5.0050050050050050E-03  3.8301542171204066E-06  3.6934553019383663E+02  9.4310022669766393E-04  1.2012012012012950E-05  2.0257934801889266E+01
    7  6.0060060060060060E-03  8.7002527200649575E-06  1.6259876414680182E+02  9.4310022669827537E-04  1.4414414414418098E-05  1.3441179021813766E+01
    8  7.0070070070070070E-03  1.7409745449658282E-05  8.1256233420544161E+01  9.4310022669979336E-04  1.6816816816828522E-05  9.5018263402676767E+00
    9  8.0080080080080080E-03  3.1750910419563693E-05  4.4554638634330599E+01  9.4310022670310839E-04  1.9219219219251086E-05  7.0359899117427047E+00
   10  9.0090090090090090E-03  5.3943923862797610E-05  2.6224461232419422E+01  9.4310022670968063E-04  2.1621621621698709E-05  5.3979894644435723E+00
   11  1.0010010010010010E-02  8.6666496639273111E-05  1.6322920562610963E+01  9.4310022672176336E-04  2.4024024024193914E-05  4.2587061888443386E+00
   12  1.1011011011011011E-02  1.3308169524768146E-04  1.0629939282642663E+01  9.4310022674267238E-04  2.6426426426773654E-05  3.4367198965555422E+00
   13  1.2012012012012012E-02  1.9686424629917789E-04  7.1859180463667756E+00  9.4310022677710415E-04  2.8828828829495679E-05  2.8256598140703303E+00
   14  1.3013013013013013E-02  2.8222554908336625E-04  5.0124814880930084E+00  9.4310022683150543E-04  3.1231231232446701E-05  2.3599626852259547E+00
   15  1.4014014014014014E-02  3.9393757019721863E-04  3.5910521041786461E+00  9.4310022691449677E-04  3.3633633635752627E-05  1.9975129269999304E+00
   16  1.5015015015015015E-02  5.3735575826615159E-04  2.6326140900035804E+00  9.4310022703735243E-04  3.6036036039591152E-05  1.7103001978221967E+00
   17  1.6016016016016016E-02  7.1844109047313216E-04  1.9690554446018459E+00  9.4310022721453886E-04  3.8438438444207022E-05  1.4791346736828733E+00
   18  1.7017017017017017E-02  9.4378134283891359E-04  1.4989174684690989E+00  9.4310022746431411E-04  4.0840840849930263E-05  1.2905285172573888E+00
   19  1.8018018018018018E-02  1.2206116610087405E-03  1.1589683983069496E+00  9.4310022780939018E-04  4.3243243257197707E-05  1.1347874976335876E+00
   20  1.9019019019019019E-02  1.5568344964138700E-03  9.0867098954648233E-01  9.4310022827766052E-04  4.5645645666578159E-05  1.0048056691865472E+00
   21  2.0020020020020020E-02  1.9610389632203384E-03  7.2137798885515789E-01  9.4310022890299450E-04  4.8048048078801533E-05  8.9528269207438232E-01
   22  2.1021021021021021E-02  2.4425196638478369E-03  5.7917664513724902E-01  9.4310022972610098E-04  5.0450450494792329E-05  8.0220297039343759E-01
   23  2.2022022022022022E-02  3.0112950246080745E-03  4.6978138463112341E-01  9.4310023079546277E-04  5.2852852915707803E-05  7.2248136049091525E-01
   24  2.3023023023023023E-02  3.6781251778622132E-03  3.8461180080737049E-01  9.4310023216834384E-04  5.5255255342981220E-05  6.5371740480235249E-01
