 1000  5.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
    1  0.0000000000000000E+00  7.4336609830656451E-18  2.6364885612289123E+13  1.3065841433270830E-04  1.1375333471773785E-08  5.4124225026311385E+06
    2  1.0010010010010010E-03  1.5125343056417982E-10  1.3557508003034482E+06  1.3670797302401923E-04  4.8048048053301325E-07  1.2273507152052923E+03
    3  2.0020020020020020E-03  3.4224744440525438E-09  5.9916286560555134E+04  1.3670797302401923E-04  9.6096096096016755E-07  2.5801870423275549E+02
    4  3.0030030030030030E-03  2.1220268740615889E-08  9.6634949369673828E+03  1.3670797302401925E-04  1.4414414414414415E-06  1.0362054138360032E+02
    5  4.0040040040040040E-03  7.7441756410758593E-08  2.6479507831454713E+03  1.3670797302401937E-04  1.9219219219219224E-06  5.4241750864332373E+01
    6  5.0050050050050050E-03  2.1138309525321880E-07  9.7009630448633131E+02  1.3670797302401982E-04  2.4024024024024052E-06  3.2831155672053191E+01
    7  6.0060060060060060E-03  4.8015986960289914E-07  4.2707017499321982E+02  1.3670797302402117E-04  2.8828828828828940E-06  2.1783535449029691E+01
    8  7.0070070070070070E-03  9.6082968781319015E-07  2.1342175636011994E+02  1.3670797302402452E-04  3.3633633633633990E-06  1.5399197538981625E+01
    9  8.0080080080080080E-03  1.7523069153615507E-06  1.1702399718815105E+02  1.3670797302403184E-04  3.8438438438439386E-06  1.1402923464725617E+01
   10  9.0090090090090090E-03  2.9771212723305217E-06  6.8879276582355970E+01  1.3670797302404635E-04  4.3243243243245590E-06  8.7482872344220090E+00
   11  1.0010010010010010E-02  4.7830534426177385E-06  4.2872604706645355E+01  1.3670797302407302E-04  4.8048048048053222E-06  6.9019002783167025E+00
   12  1.1011011011011011E-02  7.3446704929236891E-06  2.7919831084831943E+01  1.3670797302411918E-04  5.2852852852863428E-06  5.5697427713227620E+00
   13  1.2012012012012012E-02  1.0864777595207696E-05  1.8874013548767238E+01  1.3670797302419519E-04  5.7657657657677968E-06  4.5794242176606583E+00
