  120  1.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
    1  0.0000000000000000E+00  2.0070884654277242E-19  7.7133740242031996E+14  1.0320949355672047E-04  6.1528083364864515E-08  2.9275272129303940E+07
    2  8.4033613445378151E-03  4.1259671307347017E-08  3.9259214225085600E+03  1.0798815164745029E-04  2.0168067226891174E-05  6.6046460267741831E+01
    3  1.6806722689075630E-02  9.3359978787609347E-07  1.7350285376646991E+02  1.0798815164818212E-04  4.0336134453857161E-05  1.3884557919840697E+01
    4  2.5210084033613445E-02  5.7885716081301830E-06  2.7983108520095143E+01  1.0798815165776572E-04  6.0504201682255303E-05  5.5760508247419801E+00
    5  3.3613445378151261E-02  2.1124951720945586E-05  7.6678152788876447E+00  1.0798815171442028E-04  8.0672268921257050E-05  2.9188687456478076E+00
    6  4.2016806722689076E-02  5.7662143742695626E-05  2.8091606968769913E+00  1.0798815193310140E-04  1.0084033620745939E-04  1.7667171995530743E+00
    7  5.0420168067226891E-02  1.3098042459079998E-04  1.2366903633027323E+00  1.0798815258182838E-04  1.2100840364790456E-04  1.1722202880302416E+00
    8  5.8823529411764706E-02  2.6209995898434641E-04  6.1801700357486148E-01  1.0798815419239991E-04  1.4117647149881199E-04  8.2866492596683728E-01
    9  6.7226890756302521E-02  4.7800311511642835E-04  3.3887276346508056E-01  1.0798815770961407E-04  1.6134454029400966E-04  6.1361656817509289E-01
   10  7.5630252100840336E-02  8.1211419702193590E-04  1.9945747484534680E-01  1.0798816468270120E-04  1.8151261103854742E-04  4.7076471458131799E-01
   11  8.4033613445378151E-02  1.3047456446269810E-03  1.2414853954149075E-01  1.0798817750237374E-04  2.0168068548433565E-04  3.7140654505914070E-01
   12  9.2436974789915966E-02  2.0035169358909480E-03  8.0848979426248277E-02  1.0798819968665817E-04  2.2184876650590978E-04  2.9972020179243523E-01
   13  1.0084033613445378E-01  2.9637507154203596E-03  5.4654513783810718E-02  1.0798823621848062E-04  2.4201685859559599E-04  2.4642897057279501E-01
   14  1.0924369747899160E-01  4.2488495701884873E-03  3.8123835224304946E-02  1.0798829393781653E-04  2.6218496849845969E-04  2.0581500653716771E-01
   15  1.1764705882352941E-01  5.9306561290637584E-03  2.7312757553554233E-02  1.0798838199107925E-04  2.8235310600846777E-04  1.7420536269827642E-01
   16  1.2605042016806723E-01  8.0897986466217246E-03  2.0023090262957740E-02  1.0798851234030678E-04  3.0252128494829538E-04  1.4915722600649640E-01
   17  1.3445378151260504E-01  1.0816023867768948E-02  1.4976210526366296E-02  1.0798870033460695E-04  3.2268952435616530E-04  1.2899703065646424E-01
   18  1.4285714285714286E-01  1.4208518712886145E-02  1.1400445837640288E-02  1.0798896534623800E-04  3.4285784990402729E-04  1.1254848751459321E-01
   19  1.5126050420168067E-01  1.8376222145498715E-02  8.8148693419079507E-03  1.0798933147363105E-04  3.6302629557227138E-04  9.8966152136913015E-02
   20  1.5966386554621849E-01  2.3438128468121146E-02  6.9111636917054531E-03  1.0798982831360455E-04  3.8319490560702473E-04  8.7630307363158410E-02
   21  1.6806722689075630E-01  2.9523583225469208E-02  5.4866557514511543E-03  1.0799049180497831E-04  4.0336373678691182E-04  7.8078704960309509E-02
   22  1.7647058823529412E-01  3.6772572870367225E-02  4.4051050844251536E-03  1.0799136514576609E-04  4.2353286102696255E-04  6.9961140677642168E-02
   23  1.8487394957983193E-01  4.5336009361820676E-02  3.5730703244381469E-03  1.0799249978611432E-04  4.4370236834813630E-04  6.3008556071890808E-02
   24  1.9327731092436975E-01  5.5376010914198978E-02  2.9252907906229204E-03  1.0799395649916040E-04  4.6387237024169365E-04  5.7011604965060701E-02
   25  2.0168067226890756E-01  6.7066180199959196E-02  2.4154306882400314E-03  1.0799580653201161E-04  4.8404300345839299E-04  5.1805519742805952E-02
   26  2.1008403361344538E-01  8.0591881425521693E-02  2.0100932797846825E-03  1.0799813283909676E-04  5.0421443425321864E-04  4.7259252824590194E-02
   27  2.1848739495798319E-01  9.6150517851237281E-02  1.6848744106711965E-03  1.0800103140022252E-04  5.2438686311706225E-04  4.3267570749044276E-02
   28  2.2689075630252101E-01  1.1395181151293312E-01  1.4217142912228368E-03  1.0800461262577867E-04  5.4456053002748138E-04  3.9745220414575034E-02
   29  2.3529411764705882E-01  1.3421808712587935E-01  1.2070914415996928E-03  1.0800900285168726E-04  5.6473572025134984E-04  3.6622571085172975E-02
   30  2.4369747899159664E-01  1.5718456241422475E-01  1.0307724651951355E-03  1.0801434592688606E-04  5.8491277073289578E-04  3.3842321715652226E-02
   31  2.5210084033613445E-01  1.8309964741247683E-01  8.8493456778516297E-04  1.0802080489638395E-04  6.0509207710129638E-04  3.1356986954623102E-02
   32  2.6050420168067227E-01  2.1222525563333611E-01  7.6354176222462579E-04  1.0802856378323277E-04  6.2527410133266428E-04  2.9126958917901811E-02
   33  2.6890756302521008E-01  2.4483713039145022E-01  6.6189611008185919E-04  1.0803782947313724E-04  6.4545938010192230E-04  2.7118999286721052E-02
   34  2.7731092436974790E-01  2.8122519001920669E-01  5.7631128473146983E-04  1.0804883370588050E-04  6.6564853386072009E-04  2.5305056252137742E-02
   35  2.8571428571428571E-01  3.2169389621281698E-01  5.0387264003356769E-04  1.0806183517829108E-04  6.8584227667820172E-04  2.3661328976331536E-02
   36  2.9411764705882353E-01  3.6656265030952096E-01  4.4225914044790572E-04  1.0807712176412999E-04  7.0604142688208663E-04  2.2167522300476377E-02
   37  3.0252100840336134E-01  4.1616622292528924E-01  3.8960999320380137E-04  1.0809501285704909E-04  7.2624691853817936E-04  2.0806248879811762E-02
   38  3.1092436974789916E-01  4.7085522308322959E-01  3.4442390105303181E-04  1.0811586184368100E-04  7.4645981380707650E-04  1.9562546444475412E-02
   39  3.1932773109243697E-01  5.3099661374323984E-01  3.0548233995125285E-04  1.0814005871498433E-04  7.6668131621749071E-04  1.8423485613967264E-02
   40  3.2773109243697479E-01  5.9697428151160783E-01  2.7179068556683949E-04  1.0816803282520756E-04  7.8691278489626157E-04  1.7377849424765473E-02
   41  3.3613445378151261E-01  6.6918966927484147E-01  2.4253270958259659E-04  1.0820025580927266E-04  8.0715574979576704E-04  1.6415870017306647E-02
   42  3.4453781512605042E-01  7.4806248157615725E-01  2.1703516885980305E-04  1.0823724467104307E-04  8.2741192796008356E-04  1.5529011160470051E-02
   43  3.5294117647058824E-01  8.3403147374872015E-01  1.9474007000630219E-04  1.0827956505685677E-04  8.4768324087185895E-04  1.4709787747026060E-02
   44  3.6134453781512605E-01  9.2755533715203695E-01  1.7518281183662663E-04  1.0832783473090938E-04  8.6797183292244990E-04  1.3951615272339004E-02
   45  3.6974789915966387E-01  1.0291136943445544E+00  1.5797485914415141E-04  1.0838272727159885E-04  8.8828009104841879E-04  1.3248683756180436E-02
   46  3.7815126050420168E-01  1.1392082196872529E+00  1.4278993181853128E-04  1.0844497601083550E-04  9.0861066557796198E-04  1.2595851690075114E-02
   47  3.8655462184873950E-01  1.2583639027342249E+00  1.2935293757931064E-04  1.0851537824162528E-04  9.2896649233122301E-04  1.1988556468534235E-02
   48  3.9495798319327731E-01  1.3871304738555503E+00  1.1743105832845264E-04  1.0859479972300352E-04  9.4935081601869249E-04  1.1422738450051315E-02
